department,total
Oron,147,016,481.68
Oruk Anam,187,001,737.89
Udung Uko,137,340,637.72
Ukanafun,167,352,656.32
Esit Eket,138,032,424.22
Uruan,165,259,823.92
Urue Offong/oruk,137,081,268.20
Uyo,223,264,493.28
Akoko Edo,210,457,524.67
Egor,207,877,921.09
Esan Central,140,556,019.48
Esan North East,146,369,062.49
Esan South East,169,763,446.15
Esan West,149,114,095.27
Etsako Central,142,744,810.20
Etsako East,162,122,572.94
Etsako West,182,294,808.98
Iguegben,133,013,010.48
Ikpoba Okha,227,310,574.77
Oredo,230,499,447.98
Orhionmwon,184,240,713.23
Ovia North East,174,231,394.82
Ovia South West,185,369,260.27
Owan East,169,048,199.50
Owan West,142,648,867.06
Uhunmwonde,161,314,096.40
Agwu,171,901,711.53
Aninri,157,557,529.48
Enugu East,205,715,868.86
Enugu North,187,247,802.18
Enugu South,175,329,656.38
Ezeagu,169,022,198.39
Igbo Etiti,183,127,101.37
Igbo Eze North,201,317,162.12
Igbo Eze South,155,521,917.00
Isi Uzo,168,202,564.93
Nkanu East,161,840,759.53
Nkanu West,156,147,353.68
Nsukka,214,839,019.28
Oji River,156,327,086.85
Udenu,172,848,112.64
Udi,189,824,640.45
Uzo Uwani,155,343,814.24
